Ronda,Semana,Dia,Fecha,Hora,Local,Marcador,Penales,Visitante,Asistentes,Estadio,Arbitro,Notas
Etapa de grupos,3,Mon,06/17/19,18:00,South Africa,0 - 4,,Germany,15502,Stade de la Mosson,Sandra Braz,
Etapa de grupos,3,Mon,06/17/19,21:00,Nigeria,0 - 1,,France,28267,Roazhon Park,Melissa Borjas,
Etapa de grupos,3,Mon,06/17/19,21:00,Korea Rep,1 - 2,,Norway,13034,Stade Auguste-Delaune II,Marie-Soleil Beaudoin,
Etapa de grupos,3,Tue,06/18/19,21:00,Jamaica,1 - 4,,Australia,17402,Stade des Alpes,Katalin Kulcsar,
Etapa de grupos,3,Tue,06/18/19,21:00,Italy,0 - 1,,Brazil,21669,Stade du Hainaut,Lucila Venegas,
Etapa de grupos,3,Wed,06/19/19,21:00,Scotland,3 - 3,,Argentina,28205,Parc des Princes,Ri Hyang Ok,
Etapa de grupos,3,Wed,06/19/19,21:00,Japan,0 - 2,,England,14319,Stade de Nice,Claudia Umpierrez,
Etapa de grupos,3,Thu,06/20/19,18:00,Netherlands,2 - 1,,Canada,19277,Stade Auguste-Delaune II,Stephanie Frappart,
Etapa de grupos,3,Thu,06/20/19,18:00,Cameroon,2 - 1,,New Zealand,8009,Stade de la Mosson,Kateryna Monzul,
Etapa de grupos,3,Thu,06/20/19,21:00,Thailand,0 - 2,,Chile,13567,Roazhon Park,Anna-Marie Keighley,
Etapa de grupos,3,Thu,06/20/19,21:00,Sweden,0 - 2,,USA,22418,Stade Oceane,Anastasia Pustovoitova,
,,,,,,,,,,,,
Primera ronda,R16,Sat,06/22/19,17:30,Germany,3 - 0,,Nigeria,17988,Stade des Alpes,Yoshimi Yamashita,
Primera ronda,R16,Sat,06/22/19,21:00,Norway,1 - 1,4 - 1,Australia,12229,Stade de Nice,Riem Hussein,Norway won on penalty kicks following extra time
Primera ronda,R16,Sun,06/23/19,17:30,England,3 - 0,,Cameroon,20148,Stade du Hainaut,Qin Liang,
Primera ronda,R16,Sun,06/23/19,21:00,France,2 - 1,,Brazil,23965,Stade Oceane,Marie-Soleil Beaudoin,Required Extra Time
Primera ronda,R16,Mon,06/24/19,18:00,Spain,1 -2,,USA,19633,Stade Auguste-Delaune II,Katalin Kulcsar,
Primera ronda,R16,Mon,06/24/19,21:00,Sweden,1 - 0,,Canada,38078,Parc des Princes,Kate Jacewicz,
Primera ronda,R16,Tue,06/25/19,18:00,Italy,2 - 0,,China PR,17492,Stade de la Mosson,Edina Alves Batista,
Primera ronda,R16,Tue,06/25/19,21:00,Netherlands,2 - 1,,Japan,21076,Roazhon Park,Melissa Borjas,
Cuartos de final,QRTF,Thu,06/27/19,21:00,Norway,0 - 3,,England,21111,Stade Oceane,Lucila Venegas,
Cuartos de final,QRTF,Fri,06/28/19,21:00,France,1 - 2,,USA,45595,Parc des Princes,Kateryna Monzul,
Cuartos de final,QRTF,Sat,06/29/19,15:00,Italy,0 - 2,,Netherlands,22600,Stade du Hainaut,Claudia Umpierrez,
Cuartos de final,QRTF,Sat,06/29/19,18:30,Germany,1 - 2,,Sweden,25301,Roazhon Park,Stephanie Frappart,
Semifinal,SMIF,Tue,07/02/19,21:00,England,1 - 2,,USA,53512,,Edina Alves Batista,
Semifinal,SMIF,Wed,07/03/19,21:00,Netherlands,1 - 0,,Sweden,48452,Groupama Stadium,Marie-Soleil Beaudoin,Tiempo extra
Tercer lugar,3rd,Sat,07/06/19,17:00,England,1 - 2,,Sweden,20316,Stade de Nice,Anastasia Pustovoitova,
Final,FIN,Sun,07/07/19,17:00,USA,2 - 0,,Netherlands,579000,Groupama Stadium,Stephanie Frappart,
